protein,condition,sample,cell,file_name
SNAP25,500uM_H2O2_30min,1,1,SNAP25B_HEK_cell1_500um_30min_spots.csv
SNAP25,500uM_H2O2,1,1,SNAP25B_HEK_cell1_500um_spots.csv
SNAP25,control,1,1,cs1_SNAP25B_HEK_cell1_spots.csv
SNAP25,500uM_H2O2_30min,1,2,SNAP25B_HEK_cell2_500um_30min_spots.csv
SNAP25,500uM_H2O2,1,2,SNAP25B_HEK_cell2_500um_spots.csv
SNAP25,control,1,2,SNAP25B_HEK_cell2_spots.csv
SNAP25,500uM_H2O2_30min,1,3,SNAP25B_HEK_cell3_500um_30min_spots.csv
SNAP25,500uM_H2O2,1,3,SNAP25B_HEK_cell3_500um_spots.csv
SNAP25,control,1,3,SNAP25B_HEK_cell3_spots.csv
SNAP25,500uM_H2O2_30min,2,1,cs2SNAP25B_HEK_cell1_500uM_30min_spots.csv
SNAP25,500uM_H2O2,2,1,cs2SNAP25B_HEK_cell1_500uM_spots.csv
SNAP25,control,2,1,cs2SNAP25B_HEK_cell1_spots.csv
SNAP25,500uM_H2O2_30min,2,2,cs2SNAP25B_HEK_cell2_500uM_30min_spots.csv
SNAP25,500uM_H2O2,2,2,cs2SNAP25B_HEK_cell2_500uM_spots.csv
SNAP25,control,2,2,cs2SNAP25B_HEK_cell2_spots.csv
SNAP25,500uM_H2O2_30min,2,3,cs2SNAP25B_HEK_cell3_500uM_30min_spots.csv
SNAP25,500uM_H2O2,2,3,cs2SNAP25B_HEK_cell3_500uM_spots.csv
SNAP25,control,2,3,cs2SNAP25B_HEK_cell3_spots.csv
Syx,500uM_H2O2_30min,1,1,cs1Syx_HEK_cell1_500uM_30min_spots.csv
Syx,500uM_H2O2,1,1,cs1Syx_HEK_cell1_500uM_spots.csv
Syx,control,1,1,cs1Syx_HEK_cell1_spots.csv
Syx,500uM_H2O2_30min,1,2,cs1Syx_HEK_cell2_500uM_30min_spots.csv
Syx,500uM_H2O2,1,2,cs1Syx_HEK_cell2_500uM_spots.csv
Syx,control,1,2,cs1Syx_HEK_cell2_spots.csv
Syx,500uM_H2O2_30min,1,3,cs1Syx_HEK_cell3_500uM_30min_spots.csv
Syx,500uM_H2O2,1,3,cs1Syx_HEK_cell3_500uM_spots.csv
Syx,control,1,3,cs1Syx_HEK_cell3_spots.csv
Syx,500uM_H2O2_30min,2,1,C2-cs2Syx_HEK_cell1_500um_30min_spots.csv
Syx,500uM_H2O2,2,1,C2-cs2Syx_HEK_cell1_500um_spots.csv
Syx,control,2,1,C2-cs2Syx_HEK_cell1_spots.csv
Syx,500uM_H2O2_30min,2,2,C2-cs2Syx_HEK_cell2_500um_30min_spots.csv
Syx,500uM_H2O2,2,2,C2-cs2Syx_HEK_cell2_500um_spots.csv
Syx,control,2,2,C2-cs2Syx_HEK_cell2_spots.csv
Syx,500uM_H2O2_30min,2,3,C2-cs2Syx_HEK_cell3_500um_30min_spots.csv
Syx,500uM_H2O2,2,3,C2-cs2Syx_HEK_cell3_500um_spots.csv
Syx,control,2,3,C2-cs2Syx_HEK_cell3_spots.csv
Syx,500uM_H2O2_30min,3,1,cs3Syx_HEK_cell1_500um_30min_spots.csv
Syx,500uM_H2O2,3,1,cs3Syx_HEK_cell1_500um_spots.csv
Syx,control,3,1,cs3Syx_HEK_cell1_spots.csv
Syx,500uM_H2O2_30min,3,2,C2-cs3Syx_HEK_cell2_500um_30min_spots.csv
Syx,500uM_H2O2,3,2,C2-cs3Syx_HEK_cell2_500um_spots.csv
Syx,control,3,2,cs3Syx_HEK_cell2_spots.csv
Syx,500uM_H2O2_30min,3,3,cs3Syx_HEK_cell3_500um_30min_spots.csv
Syx,500uM_H2O2,3,3,cs3Syx_HEK_cell3_500um_spots.csv
Syx,control,3,3,cs3Syx_HEK_cell3_spots.csv
