protein,condition,sample,cell,file_name,n_tracks_raw,n_edge_tracks_removed,n_tracks_after_edge,n_tracks_used,median_track_length,mean_track_length,median_D,mean_D,median_log10_D,mean_log10_D
SNAP25,500uM_H2O2_30min,1,1,SNAP25B_HEK_cell1_500um_30min_spots.csv,2601,462,2139,2039,16.0,19.259931338891615,0.44375858911653493,0.6932920147943346,-0.3528532279203638,-0.41179575095036597
SNAP25,Ox_500uM_H2O2,1,1,SNAP25B_HEK_cell1_500um_spots.csv,2801,418,2383,2284,16.0,20.029772329246935,0.466856643771085,0.7430592717438127,-0.3308165198801766,-0.3758741475124945
SNAP25,control,1,1,cs1_SNAP25B_HEK_cell1_spots.csv,2334,379,1955,1860,17.0,21.163440860215054,0.4630281188155483,0.6724017512513766,-0.3343927340617512,-0.4078387368239969
SNAP25,500uM_H2O2_30min,1,2,SNAP25B_HEK_cell2_500um_30min_spots.csv,1295,766,529,481,14.0,18.88981288981289,0.6006535445350465,1.2578388058341459,-0.22137595575409266,-0.2546594111935782
SNAP25,Ox_500uM_H2O2,1,2,SNAP25B_HEK_cell2_500um_spots.csv,1023,272,751,715,17.0,22.53006993006993,0.5184095870984999,0.8519970660810635,-0.28532697552967723,-0.30107043676874806
SNAP25,control,1,2,SNAP25B_HEK_cell2_spots.csv,1704,361,1343,1282,17.0,21.554602184087365,0.5109572866225526,0.7175127302686651,-0.29161545603366423,-0.3343336272543274
SNAP25,500uM_H2O2_30min,1,3,SNAP25B_HEK_cell3_500um_30min_spots.csv,1354,166,1188,1115,16.0,20.361434977578476,0.3940322674320066,0.5905384614122701,-0.40446821220015644,-0.4800691248120891
SNAP25,Ox_500uM_H2O2,1,3,SNAP25B_HEK_cell3_500um_spots.csv,1487,254,1233,1176,18.0,22.426020408163264,0.40974264084967793,0.5643737525448036,-0.38748899330423026,-0.4538299766052785
SNAP25,control,1,3,SNAP25B_HEK_cell3_spots.csv,1821,338,1483,1404,17.0,20.42165242165242,0.4370331643444162,0.6526820440332926,-0.35948560579970235,-0.41320127140653296
SNAP25,500uM_H2O2_30min,2,1,cs2SNAP25B_HEK_cell1_500uM_30min_spots.csv,2890,934,1956,1848,15.0,19.04491341991342,0.5524149674298111,0.955376597922295,-0.2577345634336261,-0.29317859830114135
SNAP25,Ox_500uM_H2O2,2,1,cs2SNAP25B_HEK_cell1_500uM_spots.csv,4794,1106,3688,3538,15.0,18.878179762577727,0.5678569619522592,0.8644030898556695,-0.24576106812901352,-0.26599810148355163
SNAP25,control,2,1,cs2SNAP25B_HEK_cell1_spots.csv,4368,954,3414,3276,16.0,19.865384615384617,0.5209758572305784,0.7806952558092225,-0.2831824073293253,-0.3010004294742568
SNAP25,500uM_H2O2_30min,2,2,cs2SNAP25B_HEK_cell2_500uM_30min_spots.csv,2378,897,1481,1397,14.0,18.477451682176092,0.6602181529262686,1.328327826508129,-0.18031253876468165,-0.19576770615131073
SNAP25,Ox_500uM_H2O2,2,2,cs2SNAP25B_HEK_cell2_500uM_spots.csv,2720,953,1767,1703,16.0,20.046388725778037,0.6860683058092678,1.2194157390344023,-0.16363264324475846,-0.1682837255341755
SNAP25,control,2,2,cs2SNAP25B_HEK_cell2_spots.csv,2181,725,1456,1397,16.0,20.78668575518969,0.5857067540872678,1.00802604106789,-0.23231976786905525,-0.23676786715268047
SNAP25,500uM_H2O2_30min,2,3,cs2SNAP25B_HEK_cell3_500uM_30min_spots.csv,2121,496,1625,1549,15.0,19.366688185926403,0.5788660204468303,1.0361325939130692,-0.23742194285944282,-0.25679286829973624
SNAP25,Ox_500uM_H2O2,2,3,cs2SNAP25B_HEK_cell3_500uM_spots.csv,2739,683,2056,1981,17.0,20.719333669863705,0.520345261536319,0.7992277563342012,-0.28370839593650377,-0.31397965509141174
