protein,sample,cell,condition,n_links,fast_links,slow_links,fast_fraction,fast_percent
Syx,1,1,500uM_H2O2_30min,9780,742,9038,0.07586912065439673,7.586912065439673
Syx,1,1,Ox_500uM_H2O2,3108,214,2894,0.06885456885456885,6.885456885456885
Syx,1,1,control,5920,418,5502,0.07060810810810811,7.0608108108108105
Syx,1,2,500uM_H2O2_30min,21071,2357,18714,0.11185990223529971,11.18599022352997
Syx,1,2,Ox_500uM_H2O2,22494,2029,20465,0.09020183159953765,9.020183159953765
Syx,1,2,control,47408,4572,42836,0.09643941950725617,9.643941950725615
Syx,1,3,500uM_H2O2_30min,44148,4098,40050,0.09282413699374831,9.28241369937483
Syx,1,3,Ox_500uM_H2O2,11973,996,10977,0.08318717113505388,8.318717113505388
Syx,1,3,control,35381,3352,32029,0.09474011475085498,9.474011475085497
Syx,2,1,500uM_H2O2_30min,6805,0,6805,0.0,0.0
Syx,2,1,Ox_500uM_H2O2,15640,0,15640,0.0,0.0
Syx,2,1,control,31070,0,31070,0.0,0.0
Syx,2,2,500uM_H2O2_30min,5544,0,5544,0.0,0.0
Syx,2,2,Ox_500uM_H2O2,8917,0,8917,0.0,0.0
Syx,2,2,control,10571,0,10571,0.0,0.0
Syx,2,3,500uM_H2O2_30min,17071,0,17071,0.0,0.0
Syx,2,3,Ox_500uM_H2O2,15114,0,15114,0.0,0.0
Syx,2,3,control,23992,0,23992,0.0,0.0
Syx,3,1,500uM_H2O2_30min,37773,1979,35794,0.052391920154607786,5.2391920154607785
Syx,3,1,Ox_500uM_H2O2,39767,1659,38108,0.0417180073930646,4.17180073930646
Syx,3,1,control,14687,641,14046,0.04364403894600667,4.364403894600668
Syx,3,2,500uM_H2O2_30min,7610,0,7610,0.0,0.0
Syx,3,2,Ox_500uM_H2O2,8906,0,8906,0.0,0.0
Syx,3,2,control,34583,1201,33382,0.03472804557152358,3.472804557152358
Syx,3,3,500uM_H2O2_30min,25861,1075,24786,0.04156838482657283,4.1568384826572835
Syx,3,3,Ox_500uM_H2O2,8812,459,8353,0.052088061733999096,5.20880617339991
Syx,3,3,control,17925,893,17032,0.0498186889818689,4.98186889818689
SNAP25,1,1,500uM_H2O2_30min,38652,1709,36943,0.04421504708682604,4.421504708682604
SNAP25,1,1,Ox_500uM_H2O2,45081,2053,43028,0.045540249772631484,4.554024977263149
SNAP25,1,1,control,39092,1408,37684,0.03601759950885092,3.6017599508850915
SNAP25,1,2,500uM_H2O2_30min,9318,859,8459,0.09218716462760249,9.218716462760248
SNAP25,1,2,Ox_500uM_H2O2,15940,857,15083,0.05376411543287327,5.376411543287327
SNAP25,1,2,control,27201,1188,26013,0.04367486489467299,4.367486489467299
SNAP25,1,3,500uM_H2O2_30min,22637,864,21773,0.03816760171400804,3.816760171400804
SNAP25,1,3,Ox_500uM_H2O2,25978,777,25201,0.029909923781661407,2.9909923781661405
SNAP25,1,3,control,28413,1072,27341,0.03772920846091578,3.7729208460915777
SNAP25,2,1,500uM_H2O2_30min,34751,2508,32243,0.07217058501913615,7.217058501913614
SNAP25,2,1,Ox_500uM_H2O2,65298,4088,61210,0.06260528653251247,6.2605286532512485
SNAP25,2,1,control,63589,3350,60239,0.052682067653210464,5.268206765321046
SNAP25,2,2,500uM_H2O2_30min,25641,2515,23126,0.09808509808509809,9.80850980850981
SNAP25,2,2,Ox_500uM_H2O2,33263,2698,30565,0.0811111445149265,8.11111445149265
SNAP25,2,2,control,28564,1831,26733,0.06410166643327266,6.4101666433272655
SNAP25,2,3,500uM_H2O2_30min,29618,2388,27230,0.08062664595853873,8.062664595853873
SNAP25,2,3,Ox_500uM_H2O2,40088,2149,37939,0.05360706445819198,5.360706445819198
SNAP25,2,3,control,43118,2650,40468,0.06145925135674196,6.145925135674196
