protein,condition,edge_margin_um,min_track_length,n_cells,median_D_group,mean_D_group,median_tracks_used
SNAP25,500uM_H2O2_30min,0.3,5,6,0.5640001026712969,0.5375768668955462,1477.5
SNAP25,500uM_H2O2_30min,0.3,10,6,0.5640001026712969,0.5375768668955462,1477.5
SNAP25,500uM_H2O2_30min,0.3,15,6,0.46221085520370064,0.4498363242395494,760.5
SNAP25,500uM_H2O2_30min,0.5,5,6,0.5656404939383207,0.5383239236477496,1473.0
SNAP25,500uM_H2O2_30min,0.5,10,6,0.5656404939383207,0.5383239236477496,1473.0
SNAP25,500uM_H2O2_30min,0.5,15,6,0.4623294189103274,0.4500272121476618,758.5
SNAP25,500uM_H2O2_30min,0.8,5,6,0.5662923799720001,0.5382738570532165,1445.5
SNAP25,500uM_H2O2_30min,0.8,10,6,0.5662923799720001,0.5382738570532165,1445.5
SNAP25,500uM_H2O2_30min,0.8,15,6,0.46308912442842337,0.45029700252793115,745.5
SNAP25,Ox_500uM_H2O2,0.3,5,6,0.5198106497521163,0.5285021157511384,1852.5
SNAP25,Ox_500uM_H2O2,0.3,10,6,0.5198106497521163,0.5285021157511384,1852.5
SNAP25,Ox_500uM_H2O2,0.3,15,6,0.480380850093001,0.4878729925791168,1083.0
SNAP25,Ox_500uM_H2O2,0.5,5,6,0.5193774243174094,0.5282132335028514,1842.0
SNAP25,Ox_500uM_H2O2,0.5,10,6,0.5193774243174094,0.5282132335028514,1842.0
SNAP25,Ox_500uM_H2O2,0.5,15,6,0.48081489634706187,0.4874648670398056,1076.5
SNAP25,Ox_500uM_H2O2,0.8,5,6,0.5161273900646685,0.5259507024172244,1793.0
SNAP25,Ox_500uM_H2O2,0.8,10,6,0.5161273900646685,0.5259507024172244,1793.0
SNAP25,Ox_500uM_H2O2,0.8,15,6,0.478955205798409,0.48695588312523813,1052.5
SNAP25,control,0.3,5,6,0.5165094862269286,0.5100688723607347,1640.0
SNAP25,control,0.3,10,6,0.5165094862269286,0.5100688723607347,1640.0
SNAP25,control,0.3,15,6,0.48274154193935537,0.481291028666981,993.5
SNAP25,control,0.5,5,6,0.5159665719265655,0.5095970468926488,1632.0
SNAP25,control,0.5,10,6,0.5159665719265655,0.5095970468926488,1632.0
SNAP25,control,0.5,15,6,0.48211534917503607,0.4811122785546216,988.0
SNAP25,control,0.8,5,6,0.51674699113581,0.5105595443182045,1601.5
SNAP25,control,0.8,10,6,0.51674699113581,0.5105595443182045,1601.5
SNAP25,control,0.8,15,6,0.4821107193866145,0.4813885031806631,972.0
Syx,500uM_H2O2_30min,0.3,5,9,0.22844325655071934,0.2382633207396381,799.0
Syx,500uM_H2O2_30min,0.3,10,9,0.22844325655071934,0.2382633207396381,799.0
Syx,500uM_H2O2_30min,0.3,15,9,0.2176358768518184,0.20962071412077304,419.0
Syx,500uM_H2O2_30min,0.5,5,9,0.22908836505311583,0.2382837794583209,796.0
Syx,500uM_H2O2_30min,0.5,10,9,0.22908836505311583,0.2382837794583209,796.0
Syx,500uM_H2O2_30min,0.5,15,9,0.2178256757398443,0.209619887785225,417.0
Syx,500uM_H2O2_30min,0.8,5,9,0.22844325655071934,0.23865011744928832,780.0
Syx,500uM_H2O2_30min,0.8,10,9,0.22844325655071934,0.23865011744928832,780.0
Syx,500uM_H2O2_30min,0.8,15,9,0.2178256757398443,0.21003039458217385,410.0
Syx,Ox_500uM_H2O2,0.3,5,9,0.21743526524495224,0.2253756760778501,584.0
Syx,Ox_500uM_H2O2,0.3,10,9,0.21743526524495224,0.2253756760778501,584.0
Syx,Ox_500uM_H2O2,0.3,15,9,0.20584030232478953,0.20201484411911053,290.0
Syx,Ox_500uM_H2O2,0.5,5,9,0.21737242600839107,0.22517478458858417,582.0
Syx,Ox_500uM_H2O2,0.5,10,9,0.21737242600839107,0.22517478458858417,582.0
Syx,Ox_500uM_H2O2,0.5,15,9,0.20584030232478953,0.2019099782174441,288.0
Syx,Ox_500uM_H2O2,0.8,5,9,0.2173095867718299,0.2252745388599955,565.0
Syx,Ox_500uM_H2O2,0.8,10,9,0.2173095867718299,0.2252745388599955,565.0
Syx,Ox_500uM_H2O2,0.8,15,9,0.20584030232478953,0.20150108506939537,279.0
Syx,control,0.3,5,9,0.2457342054218139,0.2603907848579542,1244.0
Syx,control,0.3,10,9,0.2457342054218139,0.2603907848579542,1244.0
Syx,control,0.3,15,9,0.2126701739369029,0.23649914843626085,659.0
Syx,control,0.5,5,9,0.24584079740388534,0.2601658872214504,1232.0
Syx,control,0.5,10,9,0.24584079740388534,0.2601658872214504,1232.0
Syx,control,0.5,15,9,0.21262203875651262,0.23678403928150582,652.0
Syx,control,0.8,5,9,0.2507063586333188,0.2608148012469641,1174.0
Syx,control,0.8,10,9,0.2507063586333188,0.2608148012469641,1174.0
Syx,control,0.8,15,9,0.21303770770274516,0.23730525499642263,626.0
